TRIO0222	HG02132	HG02134	HG02133
TRIO0223	HG02135	HG02137	HG02136
TRIO0224	HG02145	HG02143	HG02144
TRIO0225	HG02148	HG02146	HG02147
TRIO0226	HG02222	HG02221	HG02220
TRIO0227	HG02225	HG02224	HG02223
TRIO0228	HG02229	HG02231	HG02230
TRIO0229	HG02234	HG02233	HG02232
TRIO0230	HG02237	HG02236	HG02235
TRIO0231	HG02240	HG02238	HG02239
TRIO0232	HG02257	HG02255	HG02256
TRIO0233	HG02258	HG02314	HG02315
TRIO0234	HG02261	HG02259	HG02260
TRIO0235	HG02273	HG02271	HG02272
TRIO0236	HG02279	HG02277	HG02278
TRIO0237	HG02280	HG02307	HG02308
TRIO0238	HG02287	HG02285	HG02286
TRIO0239	HG02293	HG02291	HG02292
TRIO0240	HG02300	HG02299	HG02298
TRIO0241	HG02303	HG02302	HG02301
TRIO0242	HG02316	HG02317	HG02318
TRIO0243	HG02321	HG02281	HG02282
TRIO0244	HG02451	HG02449	HG02450
TRIO0245	HG02463	HG02461	HG02462
TRIO0246	HG02466	HG02464	HG02465
TRIO0247	HG02492	HG02490	HG02491
TRIO0248	HG02495	HG02493	HG02494
TRIO0249	HG02514	HG02512	HG02513
TRIO0250	HG02523	HG02521	HG02522
TRIO0251	HG02526	HG02524	HG02525
TRIO0252	HG02563	HG02561	HG02562
TRIO0253	HG02572	HG02570	HG02571
TRIO0254	HG02575	HG02573	HG02574
TRIO0255	HG02584	HG02582	HG02583
TRIO0256	HG02587	HG02585	HG02586
TRIO0257	HG02590	HG02588	HG02589
TRIO0258	HG02596	HG02594	HG02595
TRIO0259	HG02602	HG02600	HG02601
TRIO0260	HG02605	HG02603	HG02604
TRIO0261	HG02612	HG02610	HG02611
TRIO0262	HG02615	HG02613	HG02614
TRIO0263	HG02622	HG02620	HG02621
TRIO0264	HG02625	HG02623	HG02624
TRIO0265	HG02630	HG02628	HG02629
TRIO0266	HG02636	HG02634	HG02635
TRIO0267	HG02644	HG02642	HG02643
TRIO0268	HG02647	HG02645	HG02646
